Prot.ID,Method,TP,FN,TN,FP,Sen,Spe,Acc,Pre,MCC
1twf_chainB,ATPseq,0,0,1092,2,0.0,0.9981718464351006,0.9981718464351006,0.0,0.0
1twf_chainB,ATPbind,0,0,1088,6,0.0,0.9945155393053017,0.9945155393053017,0.0,0.0
1un9_chainA,ATPseq,0,0,533,4,0.0,0.9925512104283054,0.9925512104283054,0.0,0.0
1un9_chainA,ATPbind,0,0,529,8,0.0,0.9851024208566108,0.9851024208566108,0.0,0.0
1vl1_chainA,ATPseq,0,0,211,7,0.0,0.9678899082568807,0.9678899082568807,0.0,0.0
1vl1_chainA,ATPbind,0,0,209,9,0.0,0.9587155963302753,0.9587155963302753,0.0,0.0
1wc6_chainB,ATPseq,0,0,179,13,0.0,0.9322916666666666,0.9322916666666666,0.0,0.0
1wc6_chainB,ATPbind,0,0,178,14,0.0,0.9270833333333334,0.9270833333333334,0.0,0.0
1xdn_chainA,ATPseq,6,9,247,0,0.4,1.0,0.9656488549618321,1.0,0.6212386819894589
1xdn_chainA,ATPbind,14,1,245,2,0.9333333333333333,0.9919028340080972,0.9885496183206107,0.875,0.897675065818519
1xdp_chainA,ATPseq,5,8,673,1,0.38461538461538464,0.9985163204747775,0.9868995633187773,0.8333333333333334,0.5610486680551864
1xdp_chainA,ATPbind,9,4,672,2,0.6923076923076923,0.9970326409495549,0.9912663755458515,0.8181818181818182,0.7482825604858742
1yzy_chainA,ATPseq,0,0,406,6,0.0,0.9854368932038835,0.9854368932038835,0.0,0.0
1yzy_chainA,ATPbind,0,0,405,7,0.0,0.9830097087378641,0.9830097087378641,0.0,0.0
1z0s_chainA,ATPseq,10,1,233,5,0.9090909090909091,0.9789915966386554,0.9759036144578314,0.6666666666666666,0.7669809511560571
1z0s_chainA,ATPbind,11,0,232,6,1.0,0.9747899159663865,0.9759036144578314,0.6470588235294118,0.7941954521486158
2aqx_chainB,ATPseq,9,9,266,3,0.5,0.9888475836431226,0.9581881533101045,0.75,0.5921461302249516
2aqx_chainB,ATPbind,15,3,265,4,0.8333333333333334,0.9851301115241635,0.975609756097561,0.7894736842105263,0.7981186922819234
2bz0_chainA,ATPseq,0,0,160,8,0.0,0.9523809523809523,0.9523809523809523,0.0,0.0
2bz0_chainA,ATPbind,0,0,157,11,0.0,0.9345238095238095,0.9345238095238095,0.0,0.0
2f17_chainA,ATPseq,0,0,251,4,0.0,0.984313725490196,0.984313725490196,0.0,0.0
2f17_chainA,ATPbind,0,0,240,15,0.0,0.9411764705882353,0.9411764705882353,0.0,0.0
2i1o_chainA,ATPseq,0,0,383,6,0.0,0.9845758354755784,0.9845758354755784,0.0,0.0
2i1o_chainA,ATPbind,0,0,375,14,0.0,0.9640102827763496,0.9640102827763496,0.0,0.0
2j9c_chainA,ATPseq,10,3,102,2,0.7692307692307693,0.9807692307692307,0.9572649572649573,0.8333333333333334,0.7768985960673558
2j9c_chainA,ATPbind,10,3,100,4,0.7692307692307693,0.9615384615384616,0.9401709401709402,0.7142857142857143,0.7075969765876657
2jg1_chainC,ATPseq,0,0,292,19,0.0,0.9389067524115756,0.9389067524115756,0.0,0.0
2jg1_chainC,ATPbind,0,0,292,19,0.0,0.9389067524115756,0.9389067524115756,0.0,0.0
2py7_chainX,ATPseq,9,10,516,0,0.47368421052631576,1.0,0.9813084112149533,1.0,0.6816735342408201
2py7_chainX,ATPbind,16,3,515,1,0.8421052631578947,0.998062015503876,0.9925233644859813,0.9411764705882353,0.8864986409320684
2q16_chainB,ATPseq,0,0,181,11,0.0,0.9427083333333334,0.9427083333333334,0.0,0.0
2q16_chainB,ATPbind,0,0,190,2,0.0,0.9895833333333334,0.9895833333333334,0.0,0.0
2x14_chainA,ATPseq,0,0,384,21,0.0,0.9481481481481482,0.9481481481481482,0.0,0.0
2x14_chainA,ATPbind,0,0,391,14,0.0,0.9654320987654321,0.9654320987654321,0.0,0.0
2xan_chainA,ATPseq,0,0,413,1,0.0,0.9975845410628019,0.9975845410628019,0.0,0.0
2xan_chainA,ATPbind,0,0,397,17,0.0,0.9589371980676329,0.9589371980676329,0.0,0.0
3amt_chainA,ATPseq,15,7,383,0,0.6818181818181818,1.0,0.9827160493827161,1.0,0.8182789375148426
3amt_chainA,ATPbind,18,4,381,2,0.8181818181818182,0.9947780678851175,0.9851851851851852,0.9,0.8504219899447713
3c1m_chainC,ATPseq,0,0,450,18,0.0,0.9615384615384616,0.9615384615384616,0.0,0.0
3c1m_chainC,ATPbind,0,0,439,29,0.0,0.938034188034188,0.938034188034188,0.0,0.0
3dnt_chainA,ATPseq,9,13,380,3,0.4090909090909091,0.9921671018276762,0.9604938271604938,0.75,0.5363490863545518
3dnt_chainA,ATPbind,17,5,380,3,0.7727272727272727,0.9921671018276762,0.980246913580247,0.85,0.8001415657217592
3erc_chainC,ATPseq,0,0,435,10,0.0,0.9775280898876404,0.9775280898876404,0.0,0.0
3erc_chainC,ATPbind,0,0,436,9,0.0,0.9797752808988764,0.9797752808988764,0.0,0.0
3f2b_chainA,ATPseq,0,0,985,9,0.0,0.9909456740442656,0.9909456740442656,0.0,0.0
3f2b_chainA,ATPbind,0,0,991,3,0.0,0.9969818913480886,0.9969818913480886,0.0,0.0
3f5m_chainA,ATPseq,6,11,441,0,0.35294117647058826,1.0,0.9759825327510917,1.0,0.5868150475678484
3f5m_chainA,ATPbind,13,4,439,2,0.7647058823529411,0.9954648526077098,0.9868995633187773,0.8666666666666667,0.8074346988196015
3gqk_chainA,ATPseq,1,11,150,1,0.08333333333333333,0.9933774834437086,0.9263803680981595,0.5,0.18197334058388123
3gqk_chainA,ATPbind,10,2,144,7,0.8333333333333334,0.9536423841059603,0.9447852760736196,0.5882352941176471,0.6724183246546446
3hy2_chainY,ATPseq,1,9,88,3,0.1,0.967032967032967,0.8811881188118812,0.25,0.10265811276274127
3hy2_chainY,ATPbind,2,8,87,4,0.2,0.9560439560439561,0.8811881188118812,0.3333333333333333,0.19716518036355346
3jqm_chainB,ATPseq,0,0,140,6,0.0,0.958904109589041,0.958904109589041,0.0,0.0
3jqm_chainB,ATPbind,0,0,138,8,0.0,0.9452054794520548,0.9452054794520548,0.0,0.0
3ruv_chainD,ATPseq,0,0,501,15,0.0,0.9709302325581395,0.9709302325581395,0.0,0.0
3ruv_chainD,ATPbind,0,0,498,18,0.0,0.9651162790697675,0.9651162790697675,0.0,0.0
3tux_chainA,ATPseq,8,11,316,1,0.42105263157894735,0.9968454258675079,0.9642857142857143,0.8888888888888888,0.5978354348255922
3tux_chainA,ATPbind,17,2,315,2,0.8947368421052632,0.9936908517350158,0.9880952380952381,0.8947368421052632,0.888427693840279
3v2u_chainC,ATPseq,11,9,494,2,0.55,0.9959677419354839,0.9786821705426356,0.8461538461538461,0.6724610756013287
3v2u_chainC,ATPbind,15,5,495,1,0.75,0.9979838709677419,0.9883720930232558,0.9375,0.8329195881491686
3vth_chainA,ATPseq,0,0,745,8,0.0,0.9893758300132802,0.9893758300132802,0.0,0.0
3vth_chainA,ATPbind,0,0,741,12,0.0,0.9840637450199203,0.9840637450199203,0.0,0.0
3wdl_chainB,ATPseq,4,14,234,1,0.2222222222222222,0.9957446808510638,0.9407114624505929,0.8,0.402577867276159
3wdl_chainB,ATPbind,10,8,223,12,0.5555555555555556,0.948936170212766,0.9209486166007905,0.45454545454545453,0.46026388722709827
3wgu_chainC,ATPseq,0,0,987,7,0.0,0.9929577464788732,0.9929577464788732,0.0,0.0
3wgu_chainC,ATPbind,0,0,973,21,0.0,0.9788732394366197,0.9788732394366197,0.0,0.0
3zcb_chainA,ATPseq,11,2,172,0,0.8461538461538461,1.0,0.9891891891891892,1.0,0.9145643443061924
3zcb_chainA,ATPbind,11,2,171,1,0.8461538461538461,0.9941860465116279,0.9837837837837838,0.9166666666666666,0.8721219273832922
4amf_chainA,ATPseq,0,0,579,2,0.0,0.9965576592082617,0.9965576592082617,0.0,0.0
4amf_chainA,ATPbind,0,0,563,18,0.0,0.9690189328743546,0.9690189328743546,0.0,0.0
4crj_chainA,ATPseq,0,0,150,9,0.0,0.9433962264150944,0.9433962264150944,0.0,0.0
4crj_chainA,ATPbind,0,0,150,9,0.0,0.9433962264150944,0.9433962264150944,0.0,0.0
4cta_chainA,ATPseq,14,2,375,3,0.875,0.9920634920634921,0.9873096446700508,0.8235294117647058,0.8422900220575779
4cta_chainA,ATPbind,15,1,375,3,0.9375,0.9920634920634921,0.9898477157360406,0.8333333333333334,0.8787286270836334
4edk_chainA,ATPseq,0,0,308,13,0.0,0.9595015576323987,0.9595015576323987,0.0,0.0
4edk_chainA,ATPbind,0,0,304,17,0.0,0.9470404984423676,0.9470404984423676,0.0,0.0
4ff3_chainA,ATPseq,0,16,1077,2,0.0,0.9981464318813716,0.9835616438356164,0.0,-0.005208997941932889
4ff3_chainA,ATPbind,4,12,1074,5,0.25,0.995366079703429,0.9844748858447488,0.4444444444444444,0.3260987022042007
4lac_chainC,ATPseq,0,0,275,15,0.0,0.9482758620689655,0.9482758620689655,0.0,0.0
4lac_chainC,ATPbind,0,0,281,9,0.0,0.9689655172413794,0.9689655172413794,0.0,0.0
4ru9_chainA,ATPseq,0,0,414,13,0.0,0.9695550351288056,0.9695550351288056,0.0,0.0
4ru9_chainA,ATPbind,0,0,413,14,0.0,0.9672131147540983,0.9672131147540983,0.0,0.0
4uxx_chainC,ATPseq,0,0,105,0,0.0,1.0,1.0,0.0,0.0
4uxx_chainC,ATPbind,0,0,105,0,0.0,1.0,1.0,0.0,0.0
4yvz_chainA,ATPseq,0,0,344,5,0.0,0.9856733524355301,0.9856733524355301,0.0,0.0
4yvz_chainA,ATPbind,0,0,342,7,0.0,0.9799426934097422,0.9799426934097422,0.0,0.0
5bsm_chainA,ATPseq,20,1,509,0,0.9523809523809523,1.0,0.9981132075471698,1.0,0.9749428387084202
5bsm_chainA,ATPbind,20,1,509,0,0.9523809523809523,1.0,0.9981132075471698,1.0,0.9749428387084202
5dd7_chainA,ATPseq,0,0,301,4,0.0,0.9868852459016394,0.9868852459016394,0.0,0.0
5dd7_chainA,ATPbind,0,0,299,6,0.0,0.980327868852459,0.980327868852459,0.0,0.0
5dgh_chainA,ATPseq,0,0,301,16,0.0,0.9495268138801262,0.9495268138801262,0.0,0.0
5dgh_chainA,ATPbind,0,0,299,18,0.0,0.943217665615142,0.943217665615142,0.0,0.0
5guf_chainA,ATPseq,0,0,155,3,0.0,0.9810126582278481,0.9810126582278481,0.0,0.0
5guf_chainA,ATPbind,0,0,155,3,0.0,0.9810126582278481,0.9810126582278481,0.0,0.0
5trd_chainA,ATPseq,0,0,213,6,0.0,0.9726027397260274,0.9726027397260274,0.0,0.0
5trd_chainA,ATPbind,0,0,219,0,0.0,1.0,1.0,0.0,0.0
5w51_chainE,ATPseq,0,0,213,0,0.0,1.0,1.0,0.0,0.0
5w51_chainE,ATPbind,0,0,201,12,0.0,0.9436619718309859,0.9436619718309859,0.0,0.0
6a8p_chainB,ATPseq,0,0,660,6,0.0,0.990990990990991,0.990990990990991,0.0,0.0
6a8p_chainB,ATPbind,0,0,661,5,0.0,0.9924924924924925,0.9924924924924925,0.0,0.0
6aaz_chainA,ATPseq,9,4,252,0,0.6923076923076923,1.0,0.9849056603773585,1.0,0.8255243089185106
6aaz_chainA,ATPbind,12,1,252,0,0.9230769230769231,1.0,0.9962264150943396,1.0,0.9588682900634827
6b5k_chainA,ATPseq,0,0,261,16,0.0,0.9422382671480144,0.9422382671480144,0.0,0.0
6b5k_chainA,ATPbind,0,0,256,21,0.0,0.924187725631769,0.924187725631769,0.0,0.0
6c02_chainA,ATPseq,0,0,807,8,0.0,0.9901840490797545,0.9901840490797545,0.0,0.0
6c02_chainA,ATPbind,0,0,815,0,0.0,1.0,1.0,0.0,0.0
6cau_chainA,ATPseq,0,0,296,11,0.0,0.9641693811074918,0.9641693811074918,0.0,0.0
6cau_chainA,ATPbind,0,0,294,13,0.0,0.9576547231270358,0.9576547231270358,0.0,0.0
6ci7_chainC,ATPseq,0,0,350,4,0.0,0.9887005649717514,0.9887005649717514,0.0,0.0
6ci7_chainC,ATPbind,0,0,351,3,0.0,0.9915254237288136,0.9915254237288136,0.0,0.0
6d5k_chainC,ATPseq,0,4,172,2,0.0,0.9885057471264368,0.9662921348314607,0.0,-0.0161627045958809
6d5k_chainC,ATPbind,0,4,171,3,0.0,0.9827586206896551,0.9606741573033708,0.0,-0.01985166667941861
6fl4_chainA,ATPseq,0,0,134,4,0.0,0.9710144927536232,0.9710144927536232,0.0,0.0
6fl4_chainA,ATPbind,0,0,131,7,0.0,0.9492753623188406,0.9492753623188406,0.0,0.0
6h77_chainA,ATPseq,17,2,279,3,0.8947368421052632,0.9893617021276596,0.9833887043189369,0.85,0.8632446039616607
6h77_chainA,ATPbind,17,2,280,2,0.8947368421052632,0.9929078014184397,0.9867109634551495,0.8947368421052632,0.8876446435237029
6ig2_chainD,ATPseq,0,0,276,2,0.0,0.9928057553956835,0.9928057553956835,0.0,0.0
6ig2_chainD,ATPbind,0,0,271,7,0.0,0.9748201438848921,0.9748201438848921,0.0,0.0
6ksh_chainD,ATPseq,1,15,472,2,0.0625,0.9957805907172996,0.9653061224489796,0.3333333333333333,0.13278468853475545
6ksh_chainD,ATPbind,7,9,471,3,0.4375,0.9936708860759493,0.9755102040816327,0.7,0.541973399844716
6p1p_chainA,ATPseq,0,0,320,9,0.0,0.9726443768996961,0.9726443768996961,0.0,0.0
6p1p_chainA,ATPbind,0,0,320,9,0.0,0.9726443768996961,0.9726443768996961,0.0,0.0
6r5d_chainA,ATPseq,0,0,378,6,0.0,0.984375,0.984375,0.0,0.0
6r5d_chainA,ATPbind,0,0,377,7,0.0,0.9817708333333334,0.9817708333333334,0.0,0.0
6sqz_chainD,ATPseq,0,0,109,1,0.0,0.990909090909091,0.990909090909091,0.0,0.0
6sqz_chainD,ATPbind,0,0,104,6,0.0,0.9454545454545454,0.9454545454545454,0.0,0.0
6t0v_chainB,ATPseq,0,0,744,1,0.0,0.9986577181208054,0.9986577181208054,0.0,0.0
6t0v_chainB,ATPbind,0,0,737,8,0.0,0.9892617449664429,0.9892617449664429,0.0,0.0
6txe_chainA,ATPseq,0,0,473,7,0.0,0.9854166666666667,0.9854166666666667,0.0,0.0
6txe_chainA,ATPbind,0,0,472,8,0.0,0.9833333333333333,0.9833333333333333,0.0,0.0
6vd0_chainA,ATPseq,0,0,391,1,0.0,0.9974489795918368,0.9974489795918368,0.0,0.0
6vd0_chainA,ATPbind,0,0,387,5,0.0,0.9872448979591837,0.9872448979591837,0.0,0.0
7alr_chainA,ATPseq,0,0,418,7,0.0,0.9835294117647059,0.9835294117647059,0.0,0.0
7alr_chainA,ATPbind,0,0,415,10,0.0,0.9764705882352941,0.9764705882352941,0.0,0.0
7cqq_chainA,ATPseq,0,0,422,7,0.0,0.9836829836829837,0.9836829836829837,0.0,0.0
7cqq_chainA,ATPbind,0,0,423,6,0.0,0.986013986013986,0.986013986013986,0.0,0.0
7d8i_chainA,ATPseq,0,0,171,3,0.0,0.9827586206896551,0.9827586206896551,0.0,0.0
7d8i_chainA,ATPbind,0,0,161,13,0.0,0.9252873563218391,0.9252873563218391,0.0,0.0
7edz_chainC,ATPseq,0,0,299,5,0.0,0.9835526315789473,0.9835526315789473,0.0,0.0
7edz_chainC,ATPbind,0,0,291,13,0.0,0.9572368421052632,0.9572368421052632,0.0,0.0
7fgg_chainA,ATPseq,0,0,449,2,0.0,0.9955654101995566,0.9955654101995566,0.0,0.0
7fgg_chainA,ATPbind,0,0,442,9,0.0,0.9800443458980045,0.9800443458980045,0.0,0.0
7nsd_chainA,ATPseq,0,23,153,0,0.0,1.0,0.8693181818181818,0.0,0.0
7nsd_chainA,ATPbind,0,23,146,7,0.0,0.954248366013072,0.8295454545454546,0.0,-0.07890851498961284
7tgk_chainD,ATPseq,14,9,570,0,0.6086956521739131,1.0,0.984822934232715,1.0,0.7741021003237324
7tgk_chainD,ATPbind,16,7,569,1,0.6956521739130435,0.9982456140350877,0.9865092748735245,0.9411764705882353,0.8028994242074039
7uld_chainA,ATPseq,0,0,237,10,0.0,0.9595141700404858,0.9595141700404858,0.0,0.0
7uld_chainA,ATPbind,0,0,246,1,0.0,0.9959514170040485,0.9959514170040485,0.0,0.0
7v0f_chainA,ATPseq,0,0,181,1,0.0,0.9945054945054945,0.9945054945054945,0.0,0.0
7v0f_chainA,ATPbind,0,0,178,4,0.0,0.978021978021978,0.978021978021978,0.0,0.0
7y7p_chainA,ATPseq,0,0,930,4,0.0,0.9957173447537473,0.9957173447537473,0.0,0.0
7y7p_chainA,ATPbind,0,0,929,5,0.0,0.9946466809421841,0.9946466809421841,0.0,0.0
8dbj_chainA,ATPseq,0,6,298,5,0.0,0.9834983498349835,0.9644012944983819,0.0,-0.018046896236838632
8dbj_chainA,ATPbind,0,6,301,2,0.0,0.9933993399339934,0.9741100323624595,0.0,-0.01135795440763265
8dcd_chainA,ATPseq,0,0,480,1,0.0,0.997920997920998,0.997920997920998,0.0,0.0
8dcd_chainA,ATPbind,0,0,473,8,0.0,0.9833679833679834,0.9833679833679834,0.0,0.0
